acn,caseNumber,completedReferrals,completionDate,finalDecision,pendingReferrals,registrationDate,renewingDivision,renewingOffice,reopenDate,reviewStatus,type
Z1865690,,[],,,[],04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865689,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865688,,[],,,[],04/17/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865687,,[],,,[],04/17/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865686,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865685,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Re-Export License Application
Z1865684,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865683,,[],,,[],04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865682,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865681,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865680,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865679,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865678,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865677,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865676,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865675,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865674,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865673,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865672,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865671,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865670,,[],,,[],04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865669,,[],,,[],04/17/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865668,,[],,,[],04/17/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865667,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865666,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Commodity Classification Request
Z1865665,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of Energy', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865664,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865663,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865662,,[],,,[],04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
