acn,caseNumber,completedReferrals,completionDate,finalDecision,pendingReferrals,registrationDate,renewingDivision,renewingOffice,reopenDate,reviewStatus,type
Z1862222,,[],,,[],03/18/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1862221,F1397816,"[{'agency': 'Department of State', 'referralDate': '03/25/2025', 'closedDate': '04/07/2025'}]",04/03/2025,Approved w/Conditions,[],03/18/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,COMPLETED,Agriculture License Exception Notice
Z1862220,D1397814,"[{'agency': 'Department of Defense', 'referralDate': '03/21/2025', 'closedDate': '03/21/2025'}, {'agency': 'Department of State', 'referralDate': '03/21/2025', 'closedDate': '03/25/2025'}]",04/04/2025,Approved w/Conditions,[],03/18/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,COMPLETED,Export License Application
Z1862219,D1397813,"[{'agency': 'Department of Defense', 'referralDate': '04/03/2025', 'closedDate': '04/04/2025'}, {'agency': 'Department of State', 'referralDate': '04/03/2025', 'closedDate': '04/07/2025'}]",04/14/2025,Approved w/Conditions,[],03/18/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,COMPLETED,Export License Application
Z1862218,D1397812,"[{'agency': 'Department of Defense', 'referralDate': '04/03/2025', 'closedDate': '04/04/2025'}, {'agency': 'Department of State', 'referralDate': '04/03/2025', 'closedDate': '04/07/2025'}]",04/14/2025,Approved w/Conditions,[],03/18/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,COMPLETED,Export License Application
Z1862217,,[],,,[],03/18/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1862216,,[],,,[],03/18/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1862215,G199005,[],04/09/2025,Returned Without Action,[],03/18/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,COMPLETED,Commodity Classification Request
Z1862214,,[],,,[],03/18/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1862213,,[],,,[],03/18/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1862212,,[],,,[],03/18/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1862211,D1397810,"[{'agency': 'Department of Defense', 'referralDate': '03/19/2025', 'closedDate': '03/25/2025'}]",03/25/2025,Approved w/Conditions,[],03/18/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,COMPLETED,Export License Application
Z1862210,,"[{'agency': 'Department of Defense', 'referralDate': '03/19/2025', 'closedDate': '03/20/2025'}]",,,[],03/18/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1862209,D1397808,"[{'agency': 'Department of Defense', 'referralDate': '03/25/2025', 'closedDate': '03/26/2025'}]",04/03/2025,Approved w/Conditions,[],03/18/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,COMPLETED,Export License Application
Z1862208,,[],03/24/2025,Returned Without Action,[],03/18/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,COMPLETED,Export License Application
Z1862207,D1397806,"[{'agency': 'Department of Defense', 'referralDate': '03/19/2025', 'closedDate': '03/19/2025'}, {'agency': 'Department of State', 'referralDate': '03/19/2025', 'closedDate': '03/19/2025'}]",03/21/2025,Approved w/Conditions,[],03/18/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,COMPLETED,Export License Application
Z1862206,D1397805,"[{'agency': 'Department of Defense', 'referralDate': '03/24/2025', 'closedDate': '03/27/2025'}, {'agency': 'Department of Energy', 'referralDate': '03/24/2025', 'closedDate': '04/03/2025'}, {'agency': 'Department of State', 'referralDate': '03/24/2025', 'closedDate': '03/31/2025'}]",04/03/2025,Approved w/Conditions,[],03/18/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,COMPLETED,Export License Application
