acn,caseNumber,completedReferrals,completionDate,finalDecision,pendingReferrals,registrationDate,renewingDivision,renewingOffice,reopenDate,reviewStatus,type
Z1860694,,[],03/19/2025,Returned Without Action,[],03/05/2025,SENSORS AND AVIATION DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,COMPLETED,Export License Application
Z1860693,,"[{'agency': 'Department of Defense', 'referralDate': '03/20/2025', 'closedDate': '04/15/2025'}, {'agency': 'Department of State', 'referralDate': '03/20/2025', 'closedDate': '04/16/2025'}]",,,[],03/05/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1860692,,[],,,[],03/05/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1860691,D1396413,"[{'agency': 'Department of Defense', 'referralDate': '03/13/2025', 'closedDate': '03/19/2025'}, {'agency': 'Department of State', 'referralDate': '03/13/2025', 'closedDate': '03/13/2025'}]",03/20/2025,Approved w/Conditions,[],03/05/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,COMPLETED,Export License Application
Z1860690,D1396412,"[{'agency': 'Department of Defense', 'referralDate': '03/06/2025', 'closedDate': '03/10/2025'}, {'agency': 'Department of Energy', 'referralDate': '03/06/2025', 'closedDate': '03/10/2025'}, {'agency': 'Department of State', 'referralDate': '03/06/2025', 'closedDate': '03/18/2025'}]",03/19/2025,Approved w/Conditions,[],03/05/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,COMPLETED,Export License Application
Z1860689,D1396411,"[{'agency': 'Department of Defense', 'referralDate': '03/13/2025', 'closedDate': '03/13/2025'}, {'agency': 'Department of State', 'referralDate': '03/13/2025', 'closedDate': '03/17/2025'}]",03/18/2025,Approved w/Conditions,[],03/05/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,COMPLETED,Export License Application
Z1860688,,"[{'agency': 'Department of Defense', 'referralDate': '03/25/2025', 'closedDate': '03/26/2025'}, {'agency': 'Department of Energy', 'referralDate': '03/25/2025', 'closedDate': '04/07/2025'}]",,,"[{'agency': 'Department of State', 'referralDate': '03/25/2025', 'closedDate': ''}]",03/05/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1860687,D1396409,"[{'agency': 'Department of Defense', 'referralDate': '03/17/2025', 'closedDate': '03/19/2025'}, {'agency': 'Department of State', 'referralDate': '03/17/2025', 'closedDate': '03/18/2025'}]",03/19/2025,Approved w/Conditions,[],03/05/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,COMPLETED,Export License Application
Z1860686,D1396408,"[{'agency': 'Department of Defense', 'referralDate': '03/17/2025', 'closedDate': '03/19/2025'}, {'agency': 'Department of State', 'referralDate': '03/17/2025', 'closedDate': '03/18/2025'}]",03/19/2025,Approved w/Conditions,[],03/05/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,COMPLETED,Export License Application
Z1860685,D1396407,"[{'agency': 'Department of Defense', 'referralDate': '03/05/2025', 'closedDate': '03/10/2025'}]",03/10/2025,Approved w/Conditions,[],03/05/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,COMPLETED,Export License Application
Z1860684,D1396406,"[{'agency': 'Department of Defense', 'referralDate': '03/06/2025', 'closedDate': '03/20/2025'}]",03/20/2025,Approved w/Conditions,[],03/05/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,COMPLETED,Export License Application
Z1860683,D1396405,"[{'agency': 'Department of Defense', 'referralDate': '03/06/2025', 'closedDate': '03/13/2025'}, {'agency': 'Department of State', 'referralDate': '03/06/2025', 'closedDate': '03/07/2025'}]",03/13/2025,Approved w/Conditions,[],03/05/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,COMPLETED,Export License Application
Z1860682,,"[{'agency': 'Department of Defense', 'referralDate': '04/09/2025', 'closedDate': '04/11/2025'}]",,,[],03/05/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Commodity Classification Request
Z1860681,G198865,"[{'agency': 'Department of Defense', 'referralDate': '03/07/2025', 'closedDate': '03/10/2025'}]",03/11/2025,Completed,[],03/05/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,COMPLETED,Commodity Classification Request
Z1860680,G198864,"[{'agency': 'Department of Defense', 'referralDate': '03/06/2025', 'closedDate': '03/11/2025'}]",03/13/2025,Completed,[],03/05/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,COMPLETED,Commodity Classification Request
Z1860679,D1396404,[],03/06/2025,Approved w/Conditions,[],03/05/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,COMPLETED,Export License Application
